rank,word,count,fraction
63,wall,2621,0.0023279361216459868
64,woman,2608,0.0023163897005924203
65,video,2596,0.0023057314657737435
66,tshirt,2569,0.0022817504374317205
67,toward,2546,0.002261322154029257
68,an,2533,0.0022497757329756904
69,seated,2532,0.0022488875467408004
70,camera,2510,0.0022293474495732263
71,position,2500,0.002220465587224329
72,hair,2500,0.002220465587224329
73,she,2476,0.002199149117586976
74,him,2468,0.0021920436277078578
75,studio,2431,0.0021591807370169376
76,professional,2348,0.00208546127952109
77,shifts,2278,0.0020232882430788086
78,person,2272,0.00201795912566947
79,wears,2268,0.0020144063807299114
80,features,2236,0.00198598442121344
81,boss,2220,0.0019717734414552044
82,top,2210,0.001962891579106307
83,including,2207,0.001960227020401638
84,appears,2139,0.0018998303564291361
85,into,2047,0.0018181172228192808
86,glasses,2034,0.0018065708017657143
87,large,2006,0.0017817015871888018
88,grey,1997,0.0017737079110747942
89,side,1984,0.0017621614900212277
90,corner,1979,0.001757720558846779
91,no,1976,0.0017550560001421097
92,speaks,1975,0.00175416781390722
93,head,1966,0.0017461741377932125
94,sits,1957,0.0017381804616792048
95,it,1936,0.0017195285507465206
96,remain,1911,0.0016973238948742773
97,for,1879,0.0016689019353578057
98,card,1872,0.0016626846317135777
99,people,1846,0.0016395917896064446
100,onscreen,1829,0.0016244926236133191
101,mouth,1816,0.0016129462025597527
102,cap,1803,0.0016013997815061862
103,displays,1800,0.001598735222801517
104,logos,1770,0.0015720896357548251
105,baseball,1712,0.0015205748341312207
106,arm,1705,0.0015143575304869925
107,against,1681,0.001493041060849639
108,window,1648,0.0014637309150982779
109,expressions,1633,0.0014504081215749318
110,shifting,1621,0.001439749886756255
111,shows,1604,0.0014246507207631297
112,room,1602,0.00142287434829335
113,several,1589,0.0014113279272397836
114,101,1585,0.0014077751823002246
115,gold,1578,0.0014015578786559966
116,yellow,1555,0.0013811295952535327
117,consistent,1551,0.001377576850313974
118,gesturing,1545,0.0013722477329046355
119,clothing,1503,0.0013349439110392667
120,podcast,1500,0.0013322793523345975
121,stands,1491,0.0013242856762205899
122,their,1490,0.0013233974899857003
123,continues,1474,0.0013091865102274644
124,equipment,1461,0.001297640089173898
125,lightcolored,1435,0.001274547247066765
126,framed,1417,0.0012585598948387498
127,circular,1408,0.0012505662187247421
128,light,1403,0.0012461252875502935
129,inset,1403,0.0012461252875502935
130,lighting,1363,0.0012105978381547044
131,table,1346,0.001195498672161579
132,various,1324,0.0011759585749940048
133,then,1315,0.0011679648988799972
134,overear,1298,0.0011528657328868717
135,one,1289,0.001144872056772864
136,open,1281,0.0011377665668937463
137,looking,1269,0.0011271083320750694
138,other,1223,0.0010862517652701418
139,posture,1219,0.0010826990203305828
140,clip,1192,0.0010587179919885601
141,center,1189,0.001056053433283891
142,stationary,1181,0.001048947943404773
143,banner,1179,0.0010471715709349937
144,movements,1154,0.0010249669150627504
145,two,1152,0.001023190542592971
146,there,1145,0.0010169732389487427
147,movement,1139,0.0010116441215394043
148,persons,1135,0.0010080913765998455
149,moving,1121,0.0009956567693113893
150,shot,1094,0.0009716757409693665
151,over,1078,0.0009574647612111308
152,upper,1068,0.0009485828988622335
153,final,1060,0.0009414774089831156
154,shift,1057,0.0009388128502784464
155,another,1048,0.0009308191741644388
156,moves,1037,0.0009210491255806517
157,chest,1032,0.0009166081944062031
158,recording,1026,0.0009112790769968647
159,each,1009,0.0008961799110037392
160,surface,998,0.0008864098624199522
161,only,997,0.0008855216761850625
162,box,990,0.0008793043725408344
163,partially,987,0.0008766398138361651
164,view,966,0.0008579879029034808
165,boom,963,0.0008553233441988117
166,changes,963,0.0008553233441988117
167,gaze,952,0.0008455532956150245
168,desk,949,0.0008428887369103554
169,buttondown,948,0.0008420005506754656
170,beard,942,0.0008366714332661273
171,showing,941,0.0008357832470312375
172,forward,936,0.0008313423158567889
173,mans,935,0.0008304541296218992
174,same,926,0.0008224604535078915
175,graphic,912,0.0008100258462194353
176,more,874,0.0007762747692936255
177,up,861,0.000764728348240059
178,slight,859,0.0007629519757702796
179,men,849,0.0007540701134213822
180,gestures,844,0.0007496291822469335
181,presentation,843,0.0007487409960120438
182,backdrop,842,0.0007478528097771541
183,includes,842,0.0007478528097771541
184,neutral,829,0.0007363063887235875
