video_id,filename,caption_length_words,score
dceff6433eb32fde16447f8d691594da,3_ZfZs-JPIg-Scene-280.mp4,99,0.253773
76ddc1dd9a0ab3cfe3e34f4b0d6c5278,3Smz5pevbI4-Scene-012.mp4,115,0.144725
2744a877dc5a2e61a53fec5aea77783e,3mdAeLvlUxw-Scene-136.mp4,96,0.082252
6656db74c206a3410bfa0094a5bf066d,3N5aKGuJpFU-Scene-120.mp4,122,0.115592
97241c7cff5f3e4ccbe5bce72bdb69ed,3P1vSUbet40-Scene-0076.mp4,116,0.358467
37180a54402d8fda25b97b5871232e80,3_ZfZs-JPIg-Scene-397.mp4,131,0.196613
9dc1b09b0dbd11f0bf8ff26879a675fc,3P1vSUbet40-Scene-0811.mp4,125,0.293982
00d147b67b5324ee1571c77526fef18a,3gZZFVx-9-M-Scene-361.mp4,111,0.126960
f5dc7e2d8b858833c9176d23004fc074,3q3CZaZLMiY-Scene-862.mp4,112,0.223671
f5470b7ed814232b0d8bbfba456a6257,3hcAJKLX-Ps-Scene-008.mp4,112,0.174996
5be60c562499d0921fa9c97d40a6d083,3QD9oO6sRns-Scene-137.mp4,108,0.242205
ae387dae1e9da180874cc3627147438f,3F2rz23IKUk-Scene-076.mp4,105,0.222462
3e04a95dbc9434993cedd5e96ca961e0,3Z229_lKLpk-Scene-216.mp4,118,0.192208
b0c7e42a2386c12e30afdfe34bb42570,3iUTkJy84EY-Scene-003.mp4,115,0.147338
25632e2578021627d1edb1582d72c7df,3q3CZaZLMiY-Scene-839.mp4,121,0.246982
d77ec640198a5044ebfa769dcd1fd61a,3iUTkJy84EY-Scene-069.mp4,122,0.228204
67fae8858c8937362551fe308daa18ed,3jGOgCF9gjE-Scene-005.mp4,101,0.150664
dc4a0aabbacd413092e3bf2997969407,3EB6XN8KrzI-Scene-094.mp4,112,0.232060
d2d2335d54db9d964d5891fd0fb53f24,3Z229_lKLpk-Scene-035.mp4,107,0.153961
44f04c55a3086762d418d6f517607b0d,3kIRn6ImIRc-Scene-079.mp4,119,0.233451
8180d89dd7b7029367cd573691a95484,3gZZFVx-9-M-Scene-045.mp4,112,0.272494
3865cdb1173f9e6fdd3a62a2eda6f569,3Z229_lKLpk-Scene-116.mp4,121,0.195125
ba9324199a9878e65459e58b47a8d700,3_ZfZs-JPIg-Scene-188.mp4,94,0.314938
b7bbd6167bed3f0eefe5b578e3a33816,3P1vSUbet40-Scene-0164.mp4,131,0.301937
003f1d562beb409c1a1077e1afb23559,3gZZFVx-9-M-Scene-011.mp4,132,0.192091
ced772e06f671a54fbf43a88db2c40d8,3jFz5IiuGk8-Scene-041.mp4,119,0.167654
714f07b7dd5207d6f288e3123b4d7d8c,3_ZfZs-JPIg-Scene-018.mp4,118,0.292499
aa317b57ef9a8f8f96980f6e1db9418e,3mdAeLvlUxw-Scene-004.mp4,114,0.213416
062e534d2883bb0bed00a81fa3631546,3JYDT8lap5U-Scene-033.mp4,119,0.082360
276b3c3e0ee2961b5fcc806fec39a0fb,3utNTc4QUxQ-Scene-040.mp4,137,0.150221
7dc6f5587ccf186eb6feabecde23274b,3mmDnftP1M8-Scene-064.mp4,162,0.233358
6b7cecb4da37e8a3103b5a06a64c6a34,3Wcw7UNaLks-Scene-133.mp4,105,0.152783
537065680fe0dcba52a556da87e5d428,3q3CZaZLMiY-Scene-500.mp4,129,0.162864
12e68e4d1c18f2a588d1bd807de5ced5,3Wcw7UNaLks-Scene-276.mp4,112,0.143926
542b9d7234cb2d47a0a54408fb227831,3_ZfZs-JPIg-Scene-087.mp4,101,0.199908
