video_id,caption_length_words,score
421f25907788cf76eadbe8be7e85e391,129,0.313527
e912683b340b393e4b4573b1c4ef7f0e,150,0.243204
7977caf530df928f0310ee4d2d3fb9cb,129,0.297889
e9478eaef0f1fe1cf12eecd562519625,134,0.428046
c9fc718b97315a5c3d5ebf8ba35b7341,139,0.304692
5f175bb9518cf6e1057b175b9254a265,112,0.340760
2f38c92f6fcdbfc25eadb55ce325b675,134,0.272601
309129ab030d117bcf3e8a15071f9d61,114,0.258628
d5d0fdf8e5be41d042ce208ddd1c1d62,138,0.296943
b0434197d3c288db6ffa343d9593e085,146,0.283664
d26376f9a7274b92f7acd9d0b1cbd956,143,0.269916
cbcfcc40f6dc4e59cc77f8c78ed9667b,136,0.296024
e67196b065034210505b784ab7d92b2a,133,0.375871
1b729e41403a240ea0e9c0e24459e01c,142,0.303784
316eb3a334fb482efa456adffbbbb3e7,129,0.294837
1efd8090e25cf033933bcafdd7e0aec7,127,0.295888
c7ef48ac4496c59fad491cb3b24cef0e,140,0.302651
a88d408a93d95212a8f1e0b3efe4a56d,134,0.308198
36c99072dc5cbbc9328973e70e7c13ca,103,0.293851
7c0688d4f53128a8941f99d99d2df420,161,0.265397
5f7ebf33e7da82c43c58a058b6b3bdc1,140,0.263850
5f0f01d91bfbef736ac1088fd85a658d,142,0.297468
de3c4bdbc2eac430cdea6d5493e62a7e,104,0.434354
45d97be1dc6ddb8b10eccc7eb1699f2c,140,0.299916
5be3d174337a2774c4491f6732a5cf4f,136,0.284605
89918164fb106e291c4244b4166caf20,133,0.322562
e4587448d3ea44df3ba3f991fd87b96e,125,0.316870
7c9d6bdd71d0e2dc363f668cfc669357,125,0.274653
266a01031183005a57ce1e25973eedbb,127,0.237273
db9fa0a132bf1c799f422c3d52fd1f36,137,0.303446
311e4d7eba1243b1c5edc2ebdd9809e3,134,0.342293
19273d2366ed8c4bb0f9f1c179bc3175,132,0.229908
0754a5598d81fc84d64fb2a070cd0278,140,0.320272
2eaa91239c2420c5b5933ba763d3294a,115,0.283197
7651842195e525cb04adaea421861000,131,0.418172
52d2386fbae696da7d7acfaf03bd130f,128,0.308110
c9ae4ac24d5f1c7dc44e846fabd6a4d4,127,0.261900
ef0e2377fc486d602686c33dc1f46a79,123,0.264110
ed2759098a865b632a4a53cebad28982,119,0.324812
6aa78384d1f94b85ebfee552b751af2a,142,0.258397
c7152deafb755553ace3883c378b1e24,134,0.264476
1dce3aa6c8c0d2c394002a8b2a0ebe8e,100,0.429626
5224deb38d43495c600f489a68674cb3,127,0.311970
bbbd71a3281bb9b77ce5b77d6639bc9d,134,0.344956
00e787e191a9874f1ff8e17e2aa8823d,128,0.362251
c1ef857d736e78c341ee2ce70c3d56c2,127,0.310641
8381cf4b278e27ee2e3a41c52cd2c49b,145,0.283615
e1092de4e3f9ee1ba9f5954fcbe16f81,132,0.342980
8cd82f18cf2f6ebb29ce35a185c071f0,134,0.303189
d22196cd9c5997aefec2a3374b75269d,141,0.302576
ef61c6ed97f2ff9f416a13aa2ffd2d22,129,0.344935
4ce0fd0a531c4be0e2e0f44299d1b84e,134,0.275989
5ef196fd7e7113217214b69bdf8d2542,164,0.306856
92ac2e42d40292157f72db7f03089234,135,0.363246
6cb2bed8f7ee95e63458cac339e053de,128,0.319254
1dcc4c94c50256d8fbcd097ada139cc3,126,0.284434
1f2d89946d22831975e862ce992ef98e,133,0.303645
9b67b871e6a4823729920fe8449a80ef,142,0.329199
1ce7f32a115f3f835c11daafc64bc386,138,0.298183
18ed08ce802cefb4be04180bce8d46f7,148,0.306642
eb2d1be8fb5129fc0bab74831cd16ab5,115,0.283047
f69a31f955eba5af0cada8b1c5a8eb3d,129,0.278544
4e4f5f3b81764644842b06ee51895e2f,138,0.287707
1ca32d688e680a61575f49474936f635,150,0.273739
f90586d2ab30b190fa0a0aed80b4e471,132,0.288433
2879f1fe53415b59fab0e61e7110a0f9,128,0.324506
5d2de33189f475ca02919e8291f0f986,134,0.311892
232e3fddd2624a1b36197ddc5f75b856,127,0.319947
22dc2c157d8802d0c50c834477da2db6,126,0.290089
75c3930b25114208b4631ebb0b952699,138,0.313250
c868f429c17c48ffdd920ec29f1f01af,139,0.280821
3b95e76d0fbf5044d123624f2b4c6fd1,135,0.264296
7b07c07650f0e1cf40c9088b24ed956f,139,0.394651
13255c4825359395fc0bdc2afb510672,135,0.349615
29abd39da21712df5086030ded97a93f,143,0.308729
