categories,language,url
['Science & Technology'],en,https://www.youtube.com/watch?v=Lh1inharILU
['Education'],en,https://www.youtube.com/watch?v=KyaiNqFjZwA
['Education'],en,https://www.youtube.com/watch?v=uG58btvxdDU
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=u7-jvkFRYdo
['News & Politics'],en,https://www.youtube.com/watch?v=u1bUJH9fUN8
['Entertainment'],en,https://www.youtube.com/watch?v=uUNaYj2YAP4
['Music'],en,https://www.youtube.com/watch?v=LMSxuj9EqJ4
['Sports'],en,https://www.youtube.com/watch?v=tShU--SDs3k
['News & Politics'],en,https://www.youtube.com/watch?v=MyTr488FY3M
['Entertainment'],en,https://www.youtube.com/watch?v=seHt4fxWXJw
['Education'],en,https://www.youtube.com/watch?v=upfPfHINh_o
['Entertainment'],en,https://www.youtube.com/watch?v=uweqZM52frw
['News & Politics'],en,https://www.youtube.com/watch?v=tzyaPt7DK9U
['Howto & Style'],en,https://www.youtube.com/watch?v=u9lKf80l_FM
['Gaming'],en,https://www.youtube.com/watch?v=NTjvgk6DjN4
['Science & Technology'],en,https://www.youtube.com/watch?v=uxdWgmUfEAk
['Education'],en,https://www.youtube.com/watch?v=takcs4chIP0
['News & Politics'],Unknown,https://www.youtube.com/watch?v=NTdjWJbMDBw
['Education'],hi,https://www.youtube.com/watch?v=MSBgw6N8VyM
['News & Politics'],en,https://www.youtube.com/watch?v=LHAcUz95I3A
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=vMStSN3iGM8
['Entertainment'],en,https://www.youtube.com/watch?v=NSWf2miZQtk
['Education'],en,https://www.youtube.com/watch?v=MlPiucTfpeg
['Education'],en,https://www.youtube.com/watch?v=tybqHwnDaLI
['Gaming'],en,https://www.youtube.com/watch?v=NKDbcGtghNY
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=sRphEFCQN1g
['Education'],Unknown,https://www.youtube.com/watch?v=vgNOLY3FRyg
['Entertainment'],en,https://www.youtube.com/watch?v=uiiDnMuI7rQ
['Howto & Style'],en,https://www.youtube.com/watch?v=Ln2eGjj3Qg0
['People & Blogs'],en,https://www.youtube.com/watch?v=t-EaX_CRqo0
['Education'],en,https://www.youtube.com/watch?v=MXMP-Rq2uEM
['Education'],en,https://www.youtube.com/watch?v=N0I-ozinyCU
['Education'],en,https://www.youtube.com/watch?v=uVSD1xTW2OI
['Education'],en,https://www.youtube.com/watch?v=KgpBNXa6AIs
['News & Politics'],en,https://www.youtube.com/watch?v=LEs31xiWmCU
['Science & Technology'],en,https://www.youtube.com/watch?v=LWcUsuzK9Bc
['Travel & Events'],en,https://www.youtube.com/watch?v=t-ywDLIsp8o
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=Nl_bLyy8FKQ
['Travel & Events'],en,https://www.youtube.com/watch?v=tjGSYc2Pj_Y
['News & Politics'],en,https://www.youtube.com/watch?v=N03vq07j1tE
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=Nx1GgJ3VANQ
['Howto & Style'],en,https://www.youtube.com/watch?v=tRZYYX9W2Kk
['News & Politics'],en,https://www.youtube.com/watch?v=Lo2uU_I38HI
['Education'],en,https://www.youtube.com/watch?v=uPcWeX5A6Mc
['People & Blogs'],en,https://www.youtube.com/watch?v=utExVoLNAJQ
['People & Blogs'],en,https://www.youtube.com/watch?v=KfoQ8SGqCWw
['Science & Technology'],en,https://www.youtube.com/watch?v=uvdv9ezMh6Q
['News & Politics'],Unknown,https://www.youtube.com/watch?v=NBR5puiWfXI
['Education'],en,https://www.youtube.com/watch?v=M1_U6dhI-fU
['Entertainment'],en,https://www.youtube.com/watch?v=ModbwlzSc8g
['News & Politics'],en,https://www.youtube.com/watch?v=tmhe0x66lZI
['People & Blogs'],en,https://www.youtube.com/watch?v=vF-lm-A8o5Q
['Education'],en,https://www.youtube.com/watch?v=NLcD8Ov8Jlw
['Science & Technology'],en,https://www.youtube.com/watch?v=unbhtnlZX_I
['News & Politics'],en,https://www.youtube.com/watch?v=teRivsb8UZU
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=spELNN11smQ
['People & Blogs'],Unknown,https://www.youtube.com/watch?v=tsrMv2N4c78
['Sports'],en,https://www.youtube.com/watch?v=ttiV0nfAOVY
['Education'],es,https://www.youtube.com/watch?v=NJrqmDrbuwc
['Sports'],en,https://www.youtube.com/watch?v=N-eLJBYy6mM
['News & Politics'],hi,https://www.youtube.com/watch?v=N9h3Glf2KvQ
['People & Blogs'],en,https://www.youtube.com/watch?v=LYirCgr0B5k
['News & Politics'],en,https://www.youtube.com/watch?v=Lp-XHQ5WhDE
['News & Politics'],en,https://www.youtube.com/watch?v=LeUVc5v3Qek
['Education'],en,https://www.youtube.com/watch?v=L_dYyBobhvM
['Nonprofits & Activism'],Unknown,https://www.youtube.com/watch?v=M0JSoCqGNF8
['Education'],en,https://www.youtube.com/watch?v=N-LXgKHVQGE
['Entertainment'],en,https://www.youtube.com/watch?v=N4CIsCLhp0Q
['Entertainment'],en,https://www.youtube.com/watch?v=tRLEXZ6Sno0
['Education'],en,https://www.youtube.com/watch?v=vb1cU78H7VI
['Education'],tr,https://www.youtube.com/watch?v=LSB8V7XpBa0
['Autos & Vehicles'],en,https://www.youtube.com/watch?v=tHRXs-1ZgHs
['Sports'],en,https://www.youtube.com/watch?v=uLmGqOJ-RHo
['Education'],Unknown,https://www.youtube.com/watch?v=sgrnPHXm044
['News & Politics'],en,https://www.youtube.com/watch?v=ubqKmnPs1Xk
['Education'],en,https://www.youtube.com/watch?v=Ni2WDc_wT68
['News & Politics'],en,https://www.youtube.com/watch?v=vNIbfmvoIhE
['Travel & Events'],en,https://www.youtube.com/watch?v=LHaOOZriSQw
['Education'],en,https://www.youtube.com/watch?v=ubpHq-5BjYQ
['Gaming'],en,https://www.youtube.com/watch?v=MRim0-4toKI
['News & Politics'],en,https://www.youtube.com/watch?v=v5jOlvz1BiE
['Education'],en,https://www.youtube.com/watch?v=MVsYIbFf-sw
['Film & Animation'],en,https://www.youtube.com/watch?v=MsefK5GyBHg
['Education'],en,https://www.youtube.com/watch?v=L45lLMbGh0A
['Education'],en,https://www.youtube.com/watch?v=QZyaGFqZY9E
['Education'],hi,https://www.youtube.com/watch?v=pFYx1iVgzTg
['Entertainment'],en,https://www.youtube.com/watch?v=OSQLjEnKU7I
['Sports'],en,https://www.youtube.com/watch?v=O4sMlCIDn0c
['Education'],Unknown,https://www.youtube.com/watch?v=rf25d8xBqsc
['Education'],en,https://www.youtube.com/watch?v=R5KJZJXWoS0
['Education'],en,https://www.youtube.com/watch?v=QRaa-zvyXF4
['Entertainment'],hi,https://www.youtube.com/watch?v=s6ojDHHHJYw
['Science & Technology'],en,https://www.youtube.com/watch?v=rADsW7_TCo0
['News & Politics'],hi,https://www.youtube.com/watch?v=PQl3fxy3Jn4
['News & Politics'],en,https://www.youtube.com/watch?v=PXn-w4_JymY
['People & Blogs'],en,https://www.youtube.com/watch?v=P4d4u2PkVhQ
